corrida,tiempo,algoritmo,densidad,resultado,p
4,0.6578,EG,38,"[0.5, 0.344828, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414]",0.5
5,1.2941,EG,38,"[0.5, 0.344828, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414]",0.5
6,0.815,EG,38,"[0.5, 0.344828, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414]",0.5
7,1.0735,EG,38,"[0.5, 0.344828, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414]",0.5
8,1.0316,EG,38,"[0.5, 0.344828, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414]",0.5
9,0.8471,EG,38,"[0.5, 0.344828, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414]",0.5
0,1.5278,EG,48,"[0.5, 0.342466, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986]",0.5
1,0.9726,EG,48,"[0.5, 0.342466, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986]",0.5
2,1.183,EG,48,"[0.5, 0.342466, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986]",0.5
3,0.9291,EG,48,"[0.5, 0.342466, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986]",0.5
4,1.18,EG,48,"[0.5, 0.342466, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986]",0.5
5,1.0448,EG,48,"[0.5, 0.342466, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986]",0.5
