corrida,tiempo,algoritmo,densidad,resultado,p
4,0.182,GS,38,"[0.5, 0.344828, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414]",0.5
5,0.6165,GS,38,"[0.5, 0.344828, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414]",0.5
6,0.6543,GS,38,"[0.5, 0.344828, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414]",0.5
7,0.1812,GS,38,"[0.5, 0.344828, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414]",0.5
8,0.3045,GS,38,"[0.5, 0.344828, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414]",0.5
9,0.1432,GS,38,"[0.5, 0.344828, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414, 0.0172414]",0.5
0,0.3146,GS,48,"[0.5, 0.342466, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986]",0.5
1,0.3135,GS,48,"[0.5, 0.342466, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986]",0.5
2,0.2759,GS,48,"[0.5, 0.342466, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986]",0.5
3,0.4247,GS,48,"[0.5, 0.342466, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986]",0.5
4,0.3071,GS,48,"[0.5, 0.342466, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986, 0.0136986]",0.5
