corrida,tiempo,algoritmo,densidad,resultado,p
0,1.6004,GS,18,"[0.5, 0.0925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926]",0.5
1,1.0765,GS,18,"[0.5, 0.0925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926]",0.5
2,1.0692,GS,18,"[0.5, 0.0925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926]",0.5
3,1.5064,GS,18,"[0.5, 0.0925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926]",0.5
4,1.2302,GS,18,"[0.5, 0.0925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926]",0.5
5,1.679,GS,18,"[0.5, 0.0925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926]",0.5
6,1.0464,GS,18,"[0.5, 0.0925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926]",0.5
7,1.0713,GS,18,"[0.5, 0.0925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926]",0.5
8,1.5644,GS,18,"[0.5, 0.0925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926]",0.5
9,1.1874,GS,18,"[0.5, 0.0925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926, 0.00925926]",0.5
